timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 23:05:25,0.00%,14.13MiB / 7.549GiB,0.18%,1.2kB / 126B,0B / 0B
2025-07-11 23:05:32,2.77%,55.45MiB / 7.549GiB,0.72%,240kB / 228kB,0B / 0B
2025-07-11 23:05:38,9.37%,68.59MiB / 7.549GiB,0.89%,1.68MB / 1.58MB,0B / 0B
2025-07-11 23:05:45,57.38%,68.6MiB / 7.549GiB,0.89%,11.9MB / 11.3MB,0B / 0B
2025-07-11 23:05:52,109.84%,68.52MiB / 7.549GiB,0.89%,36MB / 34.1MB,0B / 0B
2025-07-11 23:05:59,134.42%,83.48MiB / 7.549GiB,1.08%,70.5MB / 66.7MB,0B / 0B
2025-07-11 23:06:06,52.71%,83.12MiB / 7.549GiB,1.08%,95MB / 89.8MB,0B / 0B
2025-07-11 23:06:12,0.00%,82.8MiB / 7.549GiB,1.07%,97.7MB / 92.4MB,0B / 0B
