timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 23:40:29,1.21%,972.7MiB / 7.549GiB,12.58%,102MB / 83.5MB,0B / 0B
2025-07-11 23:40:36,2.88%,972.7MiB / 7.549GiB,12.58%,102MB / 83.6MB,0B / 0B
2025-07-11 23:40:43,7.80%,972.8MiB / 7.549GiB,12.58%,103MB / 84.8MB,0B / 0B
2025-07-11 23:40:50,45.63%,981.3MiB / 7.549GiB,12.69%,112MB / 93.5MB,0B / 0B
2025-07-11 23:40:56,84.60%,985.7MiB / 7.549GiB,12.75%,135MB / 115MB,0B / 0B
2025-07-11 23:41:03,102.65%,990.1MiB / 7.549GiB,12.81%,169MB / 147MB,0B / 0B
2025-07-11 23:41:10,48.55%,984MiB / 7.549GiB,12.73%,196MB / 172MB,0B / 0B
2025-07-11 23:41:17,1.62%,983.5MiB / 7.549GiB,12.72%,200MB / 176MB,0B / 0B
