timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 23:40:31,0.00%,16.57MiB / 7.549GiB,0.21%,61.1MB / 61.3MB,0B / 0B
2025-07-11 23:40:44,0.50%,16.78MiB / 7.549GiB,0.22%,62.8MB / 63MB,0B / 0B
2025-07-11 23:40:56,2.04%,17.79MiB / 7.549GiB,0.23%,86.4MB / 86.7MB,0B / 0B
2025-07-11 23:41:07,2.07%,17.67MiB / 7.549GiB,0.23%,137MB / 137MB,0B / 0B
2025-07-11 23:41:20,0.00%,17.21MiB / 7.549GiB,0.22%,147MB / 147MB,0B / 0B
