timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-12 08:23:45,1.10%,277.5MiB / 7.549GiB,3.59%,197MB / 173MB,0B / 0B
2025-07-12 08:23:51,3.49%,281.8MiB / 7.549GiB,3.65%,198MB / 174MB,0B / 0B
2025-07-12 08:23:58,30.18%,284.9MiB / 7.549GiB,3.69%,202MB / 178MB,0B / 0B
2025-07-12 08:24:05,64.57%,288.3MiB / 7.549GiB,3.73%,218MB / 192MB,0B / 0B
2025-07-12 08:24:11,97.31%,295.7MiB / 7.549GiB,3.83%,245MB / 218MB,0B / 0B
2025-07-12 08:24:18,84.30%,295.8MiB / 7.549GiB,3.83%,279MB / 250MB,0B / 0B
2025-07-12 08:24:24,15.18%,293.3MiB / 7.549GiB,3.79%,295MB / 264MB,0B / 0B
2025-07-12 08:24:31,1.19%,292.7MiB / 7.549GiB,3.79%,295MB / 264MB,0B / 0B
