timestamp,cpu_percent,memory_usage,memory_percent,network_io,block_io
2025-07-11 21:28:48,0.00%,16.11MiB / 7.549GiB,0.21%,3.12kB / 2.65kB,0B / 0B
2025-07-11 21:28:55,5.81%,76.39MiB / 7.549GiB,0.99%,649kB / 621kB,0B / 0B
2025-07-11 21:29:02,19.27%,141.1MiB / 7.549GiB,1.83%,2.87MB / 2.74MB,0B / 0B
2025-07-11 21:29:08,119.53%,607.3MiB / 7.549GiB,7.86%,17.1MB / 16.4MB,0B / 0B
2025-07-11 21:29:15,183.95%,1.004GiB / 7.549GiB,13.30%,40MB / 38.1MB,0B / 0B
2025-07-11 21:29:22,159.87%,1.089GiB / 7.549GiB,14.43%,69.2MB / 65.9MB,0B / 0B
2025-07-11 21:29:29,45.75%,1.096GiB / 7.549GiB,14.52%,86.2MB / 82.1MB,0B / 0B
2025-07-11 21:29:35,0.66%,1.053GiB / 7.549GiB,13.95%,86.5MB / 82.5MB,0B / 0B
